Loại cây trồng,Điều kiện thời tiết,Hành động khuyến nghị,Mô tả chi tiết
Lúa,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với sốc nhiệt
Mía,Trời âm u,Dừng bón phân đạm,Hạn chế ảnh hưởng của nấm bệnh
Sắn,Gió mạnh,Bón phân hữu cơ,Tăng khả năng chống chịu với đạo ôn
Bắp cải,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của đạo ôn
Cải bẹ,Độ ẩm thấp,Theo dõi sát thời tiết,Tăng khả năng chống chịu với cháy lá
Cà tím,Nắng gắt,Bắt sâu thủ công,Giảm nguy cơ vàng lá
Lúa,Sương mù dày,Bón phân hữu cơ,Tăng khả năng chống chịu với sốc nhiệt
Ngô,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Bảo vệ cây khỏi nảy mầm kém
Cà chua,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh bạc lá
Lúa,Sương mù dày,Tăng cường thoát nước,Tăng khả năng chống chịu với thiếu nước
Cà tím,Mưa lớn,Dừng bón phân đạm,Giúp cây tránh sốc nhiệt
Cải bẹ,Trời âm u,Tưới nhỏ giọt,Giúp cây tránh cháy lá
Sắn,Trời âm u,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với nấm bệnh
Cải bẹ,Mưa rào nhẹ,Theo dõi sát thời tiết,Bảo vệ cây khỏi bạc lá
Ngô,Trời nhiều mây,Đào mương xung quanh ruộng,Giảm nguy cơ sốc nhiệt
Cà chua,Nhiều ngày nắng,Bắt sâu thủ công,Bảo vệ cây khỏi thiếu nước
Mía,Gió mạnh,Che chắn bằng lưới,Tăng khả năng chống chịu với rụng hoa
Lúa,Nắng gắt,Bắt sâu thủ công,Hạn chế ảnh hưởng của bạc lá
Lúa,Trời lạnh buổi sáng,Đào mương xung quanh ruộng,Hạn chế ảnh hưởng của đạo ôn
Thanh long,Có áp thấp nhiệt đới,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của vàng lá
Thanh long,Sương mù dày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với vàng lá
Cà chua,Gió mạnh,Che phủ rơm/gỗ mục,Giảm nguy cơ sốc nhiệt
Ớt,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Giúp cây tránh vàng lá
Chuối,Độ ẩm thấp,Bắt sâu thủ công,Giảm nguy cơ rụng hoa
Lúa,Mưa lớn,Tưới nước định kỳ,Giảm nguy cơ suy kiệt
Ớt,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi thiếu nước
Ngô,Có áp thấp nhiệt đới,Bắt sâu thủ công,Hạn chế ảnh hưởng của héo rũ
Mía,Trời nhiều mây,Tưới nhỏ giọt,Tăng khả năng chống chịu với suy kiệt
Dưa leo,Gió mạnh,Phun thuốc phòng bệnh,Giảm nguy cơ rụng hoa
Chuối,Độ ẩm không khí cao,Dừng bón phân đạm,Bảo vệ cây khỏi đạo ôn
Cà tím,Mưa rào nhẹ,Tỉa thưa cây con,Tăng khả năng chống chịu với vàng lá
Ớt,Nắng gắt,Tưới nước định kỳ,Hạn chế ảnh hưởng của thối rễ
Ớt,Độ ẩm không khí cao,Tăng cường thoát nước,Giúp cây tránh vàng lá
Cải bẹ,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của sốc nhiệt
Đậu phụng,Độ ẩm không khí cao,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của đạo ôn
Thanh long,Nhiệt độ dao động mạnh trong ngày,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của ngập úng
Lúa,Mưa rào nhẹ,Bón phân hữu cơ,Hạn chế ảnh hưởng của nấm bệnh
Xoài,Nhiều ngày nắng,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi đạo ôn
Lúa,Có áp thấp nhiệt đới,Đào mương xung quanh ruộng,Giúp cây tránh suy kiệt
Bắp cải,Độ ẩm không khí cao,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của nấm bệnh
Rau màu,Độ ẩm thấp,Trì hoãn gieo trồng,Tăng khả năng chống chịu với vàng lá
Ớt,Trời âm u,Che chắn bằng lưới,Giúp cây tránh héo rũ
Thanh long,Sương mù dày,Phun chế phẩm sinh học,Tăng khả năng chống chịu với sốc nhiệt
Mía,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giúp cây tránh thối rễ
Lúa,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với héo rũ
Ớt,Trời nhiều mây,Tỉa thưa cây con,Giảm nguy cơ thối rễ
Cà chua,Độ ẩm thấp,Tưới nước định kỳ,Giúp cây tránh vàng lá
Cà chua,Trời nhiều mây,Bón vôi cải tạo đất,Giảm nguy cơ đạo ôn
Dưa hấu,Mưa lớn,Tưới nước định kỳ,Giúp cây tránh sâu xanh
Cải bẹ,Mưa rào nhẹ,Tưới nhỏ giọt,Tăng khả năng chống chịu với bạc lá
Cà chua,Mưa rào nhẹ,Dừng bón phân đạm,Bảo vệ cây khỏi sâu xanh
Đậu phụng,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ ngập úng
Sắn,Nhiệt độ cao > 35°C,Phun chế phẩm sinh học,Giảm nguy cơ ngập úng
Đậu phụng,Có áp thấp nhiệt đới,Bón phân hữu cơ,Giảm nguy cơ rụng hoa
Chuối,Nhiệt độ cao > 35°C,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của đạo ôn
Đậu phụng,Nắng nhẹ sau mưa,Phun chế phẩm sinh học,Giúp cây tránh sốc nhiệt
Cà chua,Gió mạnh,Tưới nước định kỳ,Hạn chế ảnh hưởng của ngập úng
Dưa leo,Nhiệt độ thấp < 15°C,Bón phân hữu cơ,Giảm nguy cơ thối rễ
Ớt,Độ ẩm thấp,Theo dõi sát thời tiết,Giúp cây tránh vàng lá
Ớt,Nắng gắt,Tỉa thưa cây con,Giúp cây tránh bạc lá
Dưa leo,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Giảm nguy cơ rụng hoa
Thanh long,Gió mạnh,Tăng cường thoát nước,Giảm nguy cơ héo rũ
Lúa,Độ ẩm không khí cao,Tỉa thưa cây con,Tăng khả năng chống chịu với rụng hoa
Dưa leo,Độ ẩm thấp,Bón phân hữu cơ,Tăng khả năng chống chịu với vàng lá
Bắp cải,Mưa rào nhẹ,Bắt sâu thủ công,Giúp cây tránh vàng lá
Cải bẹ,Mưa lớn,Che phủ rơm/gỗ mục,Giảm nguy cơ vàng lá
Thanh long,Gió mạnh,Tưới nước định kỳ,Giúp cây tránh vàng lá
Dưa leo,Nhiều ngày nắng,Che phủ rơm/gỗ mục,Giảm nguy cơ vàng lá
Lúa,Nắng gắt,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của bạc lá
Sắn,Nhiệt độ dao động mạnh trong ngày,Tăng cường thoát nước,Giúp cây tránh đạo ôn
Ngô,Trời âm u,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của sâu xanh
Sắn,Nhiệt độ cao > 35°C,Dừng bón phân đạm,Giảm nguy cơ vàng lá
Chuối,Nắng gắt,Tưới nước định kỳ,Bảo vệ cây khỏi suy kiệt
Lúa,Sương mù dày,Bón phân hữu cơ,Giảm nguy cơ đạo ôn
Ớt,Độ ẩm thấp,Dừng bón phân đạm,Giúp cây tránh nấm bệnh
Ớt,Gió mạnh,Tỉa thưa cây con,Giảm nguy cơ nấm bệnh
Thanh long,Sương mù dày,Tưới nhỏ giọt,Bảo vệ cây khỏi vàng lá
Rau màu,Nắng nhẹ sau mưa,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nảy mầm kém
Cải bẹ,Mưa rào nhẹ,Trì hoãn gieo trồng,Tăng khả năng chống chịu với bạc lá
Sắn,Gió mạnh,Bón vôi cải tạo đất,Bảo vệ cây khỏi rụng hoa
Ớt,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ thiếu nước
Cà tím,Trời lạnh buổi sáng,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của rụng hoa
Rau màu,Có áp thấp nhiệt đới,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của thối rễ
Cà chua,Trời lạnh buổi sáng,Che phủ rơm/gỗ mục,Tăng khả năng chống chịu với sâu xanh
Rau màu,Sương mù dày,Bón phân hữu cơ,Giảm nguy cơ ngập úng
Ngô,Nhiệt độ cao > 35°C,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ vàng lá
Cà tím,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ sâu xanh
Mía,Mưa lớn,Tăng cường thoát nước,Hạn chế ảnh hưởng của sốc nhiệt
Lúa,Nhiệt độ thấp < 15°C,Trì hoãn gieo trồng,Hạn chế ảnh hưởng của ngập úng
Xoài,Nhiệt độ thấp < 15°C,Dừng bón phân đạm,Giúp cây tránh thiếu nước
Ngô,Độ ẩm không khí cao,Bắt sâu thủ công,Tăng khả năng chống chịu với thiếu nước
Chuối,Trời nhiều mây,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của héo rũ
Dưa hấu,Độ ẩm thấp,Che phủ rơm/gỗ mục,Hạn chế ảnh hưởng của sốc nhiệt
Rau màu,Có áp thấp nhiệt đới,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi nấm bệnh
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Tưới nước định kỳ,Tăng khả năng chống chịu với vàng lá
Đậu phụng,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Bảo vệ cây khỏi vàng lá
Mía,Độ ẩm thấp,Tưới nước định kỳ,Giúp cây tránh sốc nhiệt
Cà tím,Trời âm u,Tưới nước định kỳ,Tăng khả năng chống chịu với đạo ôn
Dưa hấu,Độ ẩm không khí cao,Tưới nhỏ giọt,Giảm nguy cơ vàng lá
Cà chua,Trời nhiều mây,Che phủ rơm/gỗ mục,Bảo vệ cây khỏi bạc lá
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Che chắn bằng lưới,Tăng khả năng chống chịu với thiếu nước
Ớt,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Bảo vệ cây khỏi rụng hoa
Đậu phụng,Nắng nhẹ sau mưa,Che chắn bằng lưới,Tăng khả năng chống chịu với cháy lá
Mía,Độ ẩm không khí cao,Theo dõi sát thời tiết,Tăng khả năng chống chịu với nảy mầm kém
Cải bẹ,Độ ẩm không khí cao,Dừng bón phân đạm,Hạn chế ảnh hưởng của nảy mầm kém
Ớt,Có áp thấp nhiệt đới,Tưới nhỏ giọt,Tăng khả năng chống chịu với ngập úng
Dưa hấu,Độ ẩm thấp,Theo dõi sát thời tiết,Tăng khả năng chống chịu với rụng hoa
Sắn,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Hạn chế ảnh hưởng của thối rễ
Mía,Nhiệt độ dao động mạnh trong ngày,Bón vôi cải tạo đất,Tăng khả năng chống chịu với héo rũ
Sắn,Nắng nhẹ sau mưa,Tưới nước định kỳ,Tăng khả năng chống chịu với thối rễ
Mía,Trời lạnh buổi sáng,Phun chế phẩm sinh học,Giảm nguy cơ ngập úng
Rau màu,Mưa lớn,Tỉa thưa cây con,Tăng khả năng chống chịu với thối rễ
Ngô,Nắng nhẹ sau mưa,Dừng bón phân đạm,Giúp cây tránh suy kiệt
Bắp cải,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của sốc nhiệt
Mía,Trời nhiều mây,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ vàng lá
Rau màu,Mưa lớn,Bắt sâu thủ công,Bảo vệ cây khỏi đạo ôn
Sắn,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với bạc lá
Bắp cải,Độ ẩm thấp,Che chắn bằng lưới,Hạn chế ảnh hưởng của rụng hoa
Dưa hấu,Trời nhiều mây,Bắt sâu thủ công,Giúp cây tránh sâu xanh
Sắn,Mưa lớn,Tưới nước định kỳ,Tăng khả năng chống chịu với rụng hoa
Sắn,Trời lạnh buổi sáng,Tăng cường thoát nước,Giúp cây tránh nảy mầm kém
Dưa hấu,Độ ẩm thấp,Bón vôi cải tạo đất,Giúp cây tránh thiếu nước
Cà chua,Có áp thấp nhiệt đới,Dừng bón phân đạm,Giảm nguy cơ rụng hoa
Đậu phụng,Mưa rào nhẹ,Phun chế phẩm sinh học,Giảm nguy cơ sâu xanh
Cải bẹ,Độ ẩm thấp,Đào mương xung quanh ruộng,Giảm nguy cơ nảy mầm kém
Cà chua,Nhiệt độ dao động mạnh trong ngày,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của đạo ôn
Dưa hấu,Nhiều ngày nắng,Theo dõi sát thời tiết,Tăng khả năng chống chịu với thiếu nước
Xoài,Độ ẩm thấp,Tưới nhỏ giọt,Tăng khả năng chống chịu với suy kiệt
Mía,Độ ẩm thấp,Tưới nhỏ giọt,Giảm nguy cơ héo rũ
Bắp cải,Độ ẩm không khí cao,Tưới nhỏ giọt,Bảo vệ cây khỏi héo rũ
Sắn,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Hạn chế ảnh hưởng của héo rũ
Mía,Mưa lớn,Tăng cường thoát nước,Bảo vệ cây khỏi nấm bệnh
Ớt,Trời lạnh buổi sáng,Dừng bón phân đạm,Giảm nguy cơ sâu xanh
Ớt,Sương mù dày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của suy kiệt
Rau màu,Nắng gắt,Che phủ rơm/gỗ mục,Giảm nguy cơ nảy mầm kém
Dưa hấu,Trời âm u,Gieo trồng sớm hơn 5 ngày,Hạn chế ảnh hưởng của rụng hoa
Xoài,Mưa lớn,Tưới nhỏ giọt,Giúp cây tránh nảy mầm kém
Ớt,Độ ẩm không khí cao,Che phủ rơm/gỗ mục,Giúp cây tránh thiếu nước
Chuối,Nhiều ngày nắng,Bắt sâu thủ công,Giảm nguy cơ đạo ôn
Bắp cải,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Giúp cây tránh bạc lá
Dưa hấu,Trời âm u,Trì hoãn gieo trồng,Giảm nguy cơ đạo ôn
Mía,Trời nhiều mây,Tăng cường thoát nước,Tăng khả năng chống chịu với suy kiệt
Sắn,Độ ẩm không khí cao,Theo dõi sát thời tiết,Tăng khả năng chống chịu với sốc nhiệt
Cải bẹ,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Hạn chế ảnh hưởng của thiếu nước
Thanh long,Gió mạnh,Tăng cường thoát nước,Tăng khả năng chống chịu với thiếu nước
Thanh long,Mưa lớn,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của đạo ôn
Lúa,Nhiệt độ dao động mạnh trong ngày,Phun thuốc phòng bệnh,Hạn chế ảnh hưởng của nảy mầm kém
Đậu phụng,Có áp thấp nhiệt đới,Dừng bón phân đạm,Hạn chế ảnh hưởng của sốc nhiệt
Đậu phụng,Nhiệt độ dao động mạnh trong ngày,Phun chế phẩm sinh học,Giúp cây tránh thối rễ
Thanh long,Nhiệt độ thấp < 15°C,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ nảy mầm kém
Ớt,Độ ẩm thấp,Phun thuốc phòng bệnh,Giúp cây tránh thối rễ
Bắp cải,Nhiều ngày nắng,Tăng cường thoát nước,Giảm nguy cơ sâu xanh
Ngô,Sương mù dày,Phun thuốc phòng bệnh,Tăng khả năng chống chịu với nấm bệnh
Cà chua,Nhiệt độ dao động mạnh trong ngày,Trì hoãn gieo trồng,Tăng khả năng chống chịu với ngập úng
Cải bẹ,Nhiệt độ dao động mạnh trong ngày,Bắt sâu thủ công,Tăng khả năng chống chịu với thối rễ
Xoài,Độ ẩm không khí cao,Phun chế phẩm sinh học,Hạn chế ảnh hưởng của sâu xanh
Thanh long,Có áp thấp nhiệt đới,Theo dõi sát thời tiết,Bảo vệ cây khỏi ngập úng
Thanh long,Trời nhiều mây,Tăng cường thoát nước,Tăng khả năng chống chịu với ngập úng
Cà chua,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Bảo vệ cây khỏi sốc nhiệt
Dưa hấu,Trời lạnh buổi sáng,Theo dõi sát thời tiết,Giúp cây tránh nảy mầm kém
Rau màu,Nhiệt độ thấp < 15°C,Phun thuốc phòng bệnh,Giảm nguy cơ sâu xanh
Bắp cải,Sương mù dày,Tăng cường thoát nước,Tăng khả năng chống chịu với suy kiệt
Dưa leo,Trời lạnh buổi sáng,Tưới nhỏ giọt,Giảm nguy cơ bạc lá
Sắn,Có áp thấp nhiệt đới,Tăng cường thoát nước,Giảm nguy cơ thối rễ
Lúa,Trời nhiều mây,Tưới nhỏ giọt,Giúp cây tránh thiếu nước
Rau màu,Độ ẩm thấp,Bón phân hữu cơ,Giúp cây tránh nấm bệnh
Thanh long,Trời nhiều mây,Tưới nhỏ giọt,Giảm nguy cơ sốc nhiệt
Đậu phụng,Gió mạnh,Tỉa thưa cây con,Giảm nguy cơ nảy mầm kém
Thanh long,Nhiệt độ thấp < 15°C,Che chắn bằng lưới,Giúp cây tránh nấm bệnh
Cải bẹ,Trời lạnh buổi sáng,Tỉa thưa cây con,Bảo vệ cây khỏi héo rũ
Thanh long,Có áp thấp nhiệt đới,Gieo trồng sớm hơn 5 ngày,Giảm nguy cơ thối rễ
Xoài,Độ ẩm không khí cao,Đào mương xung quanh ruộng,Giảm nguy cơ vàng lá
Bắp cải,Trời nhiều mây,Tưới nhỏ giọt,Bảo vệ cây khỏi rụng hoa
Ớt,Nắng gắt,Trì hoãn gieo trồng,Giảm nguy cơ rụng hoa
Bắp cải,Nhiệt độ cao > 35°C,Che phủ rơm/gỗ mục,Giúp cây tránh ngập úng
Ngô,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Giúp cây tránh đạo ôn
Xoài,Mưa rào nhẹ,Theo dõi sát thời tiết,Bảo vệ cây khỏi vàng lá
Sắn,Nhiệt độ dao động mạnh trong ngày,Bón phân hữu cơ,Hạn chế ảnh hưởng của sâu xanh
Cải bẹ,Nắng gắt,Tưới nhỏ giọt,Bảo vệ cây khỏi bạc lá
Rau màu,Sương mù dày,Phun thuốc phòng bệnh,Bảo vệ cây khỏi thối rễ
Lúa,Gió mạnh,Tăng cường thoát nước,Hạn chế ảnh hưởng của vàng lá
Cà chua,Sương mù dày,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi đạo ôn
Dưa hấu,Nhiều ngày nắng,Trì hoãn gieo trồng,Tăng khả năng chống chịu với sốc nhiệt
Bắp cải,Có áp thấp nhiệt đới,Tỉa thưa cây con,Tăng khả năng chống chịu với sâu xanh
Chuối,Sương mù dày,Tỉa thưa cây con,Giúp cây tránh nấm bệnh
Sắn,Mưa rào nhẹ,Trì hoãn gieo trồng,Giúp cây tránh cháy lá
Bắp cải,Nhiệt độ thấp < 15°C,Tăng cường thoát nước,Giảm nguy cơ nấm bệnh
Dưa hấu,Trời nhiều mây,Tưới nước định kỳ,Tăng khả năng chống chịu với suy kiệt
Ngô,Độ ẩm thấp,Theo dõi sát thời tiết,Giảm nguy cơ ngập úng
Bắp cải,Độ ẩm không khí cao,Phun thuốc phòng bệnh,Giúp cây tránh suy kiệt
Cà tím,Trời âm u,Tưới nước định kỳ,Tăng khả năng chống chịu với suy kiệt
Ngô,Trời nhiều mây,Bón vôi cải tạo đất,Hạn chế ảnh hưởng của thối rễ
Ớt,Nắng nhẹ sau mưa,Bón phân hữu cơ,Bảo vệ cây khỏi nấm bệnh
Dưa hấu,Gió mạnh,Gieo trồng sớm hơn 5 ngày,Tăng khả năng chống chịu với ngập úng
Cà tím,Mưa lớn,Che chắn bằng lưới,Giảm nguy cơ sốc nhiệt
Lúa,Mưa rào nhẹ,Gieo trồng sớm hơn 5 ngày,Bảo vệ cây khỏi suy kiệt
Ngô,Có áp thấp nhiệt đới,Tỉa thưa cây con,Giúp cây tránh ngập úng
Cà chua,Trời lạnh buổi sáng,Bắt sâu thủ công,Tăng khả năng chống chịu với ngập úng
Xoài,Nhiều ngày nắng,Bắt sâu thủ công,Bảo vệ cây khỏi cháy lá
Dưa leo,Trời nhiều mây,Phun thuốc phòng bệnh,Giảm nguy cơ nảy mầm kém
